ZONE DE MILLEPERTUIS 03400 YZEURE;,46.535202,3.385187,"Cynodrome de Millepertuis, 03400 Yzeure, France",,,Cynodrome de Millepertuis,03400,Allier,Yzeure,,Yzeure,Auvergne-Rhone-Alpes,ARA,1,,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
378 rue Cornouaille (route de Pannecé) 44522 MESANGER;,47.432582,-1.22913,"Mesanger (Mésanger), PDL, France",,,,,Loire-Atlantique,Mesanger,,Mésanger,Pays de la Loire,PDL,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Rue cdt Challe 29490 Guipavas ;,48.440925,-4.406808,"Rue du Commandant Challe, 29490 Guipavas, France",,,Rue du Commandant Challe,29490,Finistère,Gouesnou,,Guipavas,Brittany,BRE,1,0.567,,France,fr,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Gymnase du Collège, 43 rue Fort Bayard 33420 BRANNE;",44.824405,-0.184135,"43 Rue Du Fort Bayard, 33420 Branne, France",43,,Rue Du Fort Bayard,33420,Gironde,Branne,,Branne,New Aquitaine,,1,0.9,0.9,France,fr,0.81,© OpenAddresses contributors,BSD-3-Clause License,
2 Allée des Prairies de la Mer 14150 Ouistreham ;,49.285472,-0.269219,"2 Allée Des Prairies De La Mer, 14150 Ouistreham, France",2,,Allée Des Prairies De La Mer,14150,Calvados,Ouistreham,,Ouistreham,Normandy,NOR,1,1,1,France,fr,1,© OpenAddresses contributors,BSD-3-Clause License,
Avenue de Béziers ou 2 Rue P Langevin 34770 GIGEAN;,43.499843,3.710841,"34770 Gigean (Gigean), France",,,,34770,Hérault,Gigean,,Gigean,Occitania,OCC,1,,,France,fr,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Complexe Omnisports Marly 50600 Saint Hilaire du harcouet;,48.579749,-1.099765,"Complexe sportif Marly, 50600 Saint-Hilaire-du-Harcouët, France",,,Complexe sportif Marly,50600,Manche,Saint-Martin-De-Landelles,Saint-Hilaire-du-Harcouët,Saint-Hilaire-du-Harcouët,Normandy,NOR,,,,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2 PLACE DES SPORTS RUE DE LA FABRIQUE  79250 NUEIL LES AUBIERS;,46.940448,-0.585376,"2 Place Des Sports, 79250 Nueil-Les-Aubiers, France",2,,Place Des Sports,79250,Deux-Sèvres,Nueil-Les-Aubiers,Nueil-sur-Argent,Nueil-Les-Aubiers,New Aquitaine,,1,0.5,0.5,France,fr,0.5,© OpenAddresses contributors,BSD-3-Clause License,
Gymnase André Caron rue du 19 mars 62460 Divion;,50.4346178,2.4512285,"Rue du 19 Mars, 62460 Diéval, France",,Rue du 19 Mars,Rue du 19 Mars,62460,Pas-de-Calais,,,Diéval,Hauts-de-France,HDF,1,1,,France,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
5 rue des Frères Lumières 68200 Mulhouse;,47.7306804,7.3141862,"5 Rue des Frères Lumière, 68200 Mulhouse, France",5,,Rue des Frères Lumière,68200,Haut-Rhin,Mulhouse,,Mulhouse,Great East,,1,1,1,France,fr,1,,,
rue Félicité de Lamenais 53000 LAVAL;,48.056429,-0.797124,"Rue Félicité de Lamennais, 53000 Laval, France",,,Rue Félicité de Lamennais,53000,Mayenne,Laval,,Laval,Pays de la Loire,PDL,1,1,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Allée Pierre Ferdonnet 18390 ST GERMAIN DU PUY;,47.1042819,2.4840323,"Rue Pierre Ferdonnet, 18390 Saint-Germain-du-Puy, France",,Rue Pierre Ferdonnet,Rue Pierre Ferdonnet,18390,Cher,,,Saint-Germain-du-Puy,Centre-Val de Loire,CVL,1,1,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Route Du Valy Ledan 29800 SAINT-DIVY;,48.45724975,-4.339359710542089,"Salle polyvalente du Valy-Lédan, Route de Valy Ledan, 29800 Saint-Divy, France",,Salle polyvalente du Valy-Lédan,Route de Valy Ledan,29800,Finistère,,,Saint-Divy,Brittany,BRE,1,1,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1 rue Pierre Huet 61100 Flers;,48.745673,-0.553584,"13 Rue Pierre Huet, 61100 Flers, France",13,,Rue Pierre Huet,61100,Orne,Flers,,Flers,Normandy,NOR,1,1,0.5,France,fr,0.5,© OpenAddresses contributors,BSD-3-Clause License,
Rue du mitron Salle des sports 79700 RORTHAIS;,46.9156587,-0.7127672,"Rue du Mitron, 79700 Mauléon, France",,Rue du Mitron,Rue du Mitron,79700,Deux-Sèvres,Rorthais,,Mauléon,Nouvelle-Aquitaine,NAQ,1,1,,France,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
impasse Jules Ferry 87350 PANAZOL;,45.835723,1.301408,"Panazol (Panazol), New Aquitaine, France",,,,,Haute-Vienne,Panazol,,Panazol,New Aquitaine,,1,,,France,fr,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Halle sportive – Boulevard Jean Villar 84350 COURTHEZON;,44.091893,4.882567,"Boulevard Jean Vilar, 84350 Courthézon, France",,,Boulevard Jean Vilar,84350,Vaucluse,Courthezon,,Courthézon,Provence-Alpes-Cote d'Azur,PAC,1,0.75,,France,fr,0.375,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
9 Rue Robert Schuman (gymnase) 26120 MONTELIER;,44.930495,5.027861,"9 Rue Robert Schuman, 26120 Montélier, France",9,,Rue Robert Schuman,26120,Drôme,Montelier,,Montélier,Auvergne-Rhone-Alpes,ARA,1,0.75,0.75,France,fr,0.75,© OpenAddresses contributors,BSD-3-Clause License,
Gymanse Nicolas Vanier Rue rétimare  76190 Yvetot;,49.61746775,0.7696765494412635,"Gymnase Nicolas-Vanier, Rue Rétimare, 76190 Yvetot, France",,Gymnase Nicolas-Vanier,Rue Rétimare,76190,Seine-Maritime,Retimare,,Yvetot,Normandy,NOR,1,0.5,,France,fr,0.25,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rue Georges Mermoz 77400 Lagny sur marne;,48.872685,2.707638,"77400 Lagny-Sur-Marne (Lagny-sur-Marne), France",,,,77400,Seine-et-Marne,Lagny-Sur-Marne,,Lagny-sur-Marne,Ile-of-France,IDF,1,,,France,fr,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
chemin d'Ogimont 59780 Baisieux;,50.611043,3.24341,"Allée d'Ogimont, 59780 Baisieux, France",,,Allée d'Ogimont,59780,Nord,Baisieux,,Baisieux,Upper France,,1,1,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
rue de la beauce 78990 ELANCOURT;,48.76692585,1.945387515326523,"Rue de la Beauce, 78310 Maurepas, France",,Rue de la Beauce,Rue de la Beauce,78310,Yvelines,,,Maurepas,Ile-de-France,IDF,0.3,0.3,,France,fr,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1A Esplanade du 8 Mai 1945 17100 SAINTES;,45.742246,-0.62691,"1ter Esplanade Du 8 Mai 1945, 17100 Saintes, France",1ter,,Esplanade Du 8 Mai 1945,17100,Charente-Maritime,Saintes,,Saintes,New Aquitaine,,1,1,0.95,France,fr,0.95,© OpenAddresses contributors,BSD-3-Clause License,
Complexe Fort Minique - Rue des Glacis 59300 VALENCIENNES;,50.3636736,3.5362257,"Rue des Glacis, 59300 Valenciennes, France",,Rue des Glacis,Rue des Glacis,59300,Nord,,,Valenciennes,Hauts-de-France,HDF,1,1,,France,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Complexe DUHOURQUET  rue Marcel Sembat 33130 BEGLES;,44.8201588,-0.539608,"Rue Marcel Sembat, 33130 Bègles, France",,Rue Marcel Sembat,Rue Marcel Sembat,33130,Gironde,,Terres Neuves,Bègles,Nouvelle-Aquitaine,NAQ,1,1,,France,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salle Omnisport A BourviCour du Chêne  76740 Fontaine-le-Dun;,,,,,,,,,,,,,,,,,,,,,,
"Gymnase C3R, 3 rue des écoles 78470 ST REMY LES CHEVREUSE;",48.7068676,2.0690255,"3 Rue des Écoles, 78470 Saint-Rémy-lès-Chevreuse, France",3,,Rue des Écoles,78470,Yvelines,Rhodon,,Saint-Rémy-lès-Chevreuse,Ile-de-France,IDF,1,1,1,France,fr,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2 Impasse des FrèresPratesi 13090 AIX EN PROVENCE;,43.526046,5.44467,"Aix-en-Provence (Aix-en-Provence), PAC, France",,,,,Bouches-du-Rhône,Aix-en-Provence,,Aix-en-Provence,Provence-Alpes-Cote d'Azur,PAC,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
route de vallet 44330 le pallet;,47.1329598,-1.2481476,"Route de Vallet, 44330 Mouzillon, France",,Route de Vallet,Route de Vallet,44330,Loire-Atlantique,,,Mouzillon,Pays de la Loire,PDL,1,1,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Complexe sportif de Gueux  51390 GUEUX;,50.11466,3.218118,"Complexe sportif de Masnières, 59241 Masnières, France",,,Complexe sportif de Masnières,59241,Nord,Masnieres,,Masnières,Upper France,,,,,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
rue Youri Gargarine 59139 Wattignies;,50.587544,3.037364,"Rue Youri Gagarine, 59139 Wattignies, France",,,Rue Youri Gagarine,59139,Nord,Wattignies,,Wattignies,Upper France,,1,1,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Complexe Sportif de l'Europe  49100 ANGERS;,47.11710045,-0.7936630699205992,"Complexe Sportif de l'Èvre, Rue Pasteur, 49340 Trémentines, France",,Complexe Sportif de l'Èvre,Rue Pasteur,49340,Maine-et-Loire,Les Hauts de Pichin,,Trémentines,Pays de la Loire,PDL,0.3,,,France,fr,0.15,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
rue léo lagrange COSEC 46130 biars sur cere;,44.920065,1.8420641,"Rue Léo Lagrange, 46130 Biars-sur-Cère, France",,Rue Léo Lagrange,Rue Léo Lagrange,46130,Lot,,,Biars-sur-Cère,Occitania,OCC,1,1,,France,fr,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Gymnase Pivert, 101 rue Saint Leger 78100 Saint Germain en Laye;",48.8937356,2.0621795,"101 Rue Saint-Léger, 78100 Saint-Germain-en-Laye, France",101,,Rue Saint-Léger,78100,Yvelines,Saint-Germain-en-Laye,,Saint-Germain-en-Laye,Ile-de-France,IDF,1,1,1,France,fr,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SAlle omnisports  22200 GRâces;,48.556384,-3.183293,"Salle multi culturel, 22200 Grâces, France",,,Salle multi culturel,22200,Côtes-d'Armor,Graces,,Grâces,Brittany,BRE,1,,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Palais des Sports, Rue de la Beauce 78990 Elancourt;",48.7666184,1.944260874723222,"Conservatoire de Musique, Rue de la Beauce, 78310 Maurepas, France",,Conservatoire de Musique,Rue de la Beauce,78310,Yvelines,,,Maurepas,Ile-de-France,IDF,0.3,0.3,,France,fr,0.15,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gymnase Arcade Place de l'Europe 38340 Voreppe;,45.301117,5.656122,"38340 Voreppe, France",,38340,,38340,Isère,,,Voreppe,Auvergne-Rhone-Alpes,ARA,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
2 place Elizalde 64240 HASPARREN;,43.38424,-1.304426,"2 Place Elizaldia, 64240 Hasparren, France",2,,Place Elizaldia,64240,Pyrénées-Atlantiques,Hasparren,,Hasparren,New Aquitaine,,1,0.7000000000000001,0.7000000000000001,France,fr,0.7000000000000001,© OpenAddresses contributors,BSD-3-Clause License,
LE COSEC LA BORDEBASSE 81100 CASTRES;,43.6074522,2.2395882,"La Cerise sur le Gâteau, Rue Sabaterie, 81100 Castres, France",,La Cerise sur le Gâteau,Rue Sabaterie,81100,Tarn,Castres,Le Travet,Castres,Occitania,OCC,1,,,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
GYMNASE GEORGES POMPIDOU 94300 VINCENNES;,48.848639,2.435642,"4 Allee Georges Pompidou, 94300 Vincennes, France",4,,Allee Georges Pompidou,94300,Val-de-Marne,Vincennes,,Vincennes,Ile-of-France,IDF,1,,,France,fr,0,© OpenAddresses contributors,BSD-3-Clause License,
Aire couverte 16190 MONTMOREAU;,45.395269,0.122925,"16190 Saint-Laurent-De-Belzagot, France",,16190,,16190,Charente,,,Saint-Laurent-De-Belzagot,New Aquitaine,,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Salle des Sports ; rue Gabriel DAVENNE 08300 TAGNON;,49.439296,4.286763,"Tagnon (Tagnon), Great East, France",,,,,Ardennes,Tagnon,,Tagnon,Great East,,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"48, Rue de la Diligence  79100 THOUARS - Sainte VERGE;",47.003655,-0.210236,"48 Rue De La Diligence, 79100 Sainte-Verge, France",48,,Rue De La Diligence,79100,Deux-Sèvres,Sainte-Verge,,Sainte-Verge,New Aquitaine,,1,1,1,France,fr,1,© OpenAddresses contributors,BSD-3-Clause License,
"Gymnase C3R, 3 rue des écoles 78470 Saint-Rémy-lès-Chevreuse;",48.7068676,2.0690255,"3 Rue des Écoles, 78470 Saint-Rémy-lès-Chevreuse, France",3,,Rue des Écoles,78470,Yvelines,Rhodon,,Saint-Rémy-lès-Chevreuse,Ile-de-France,IDF,1,1,1,France,fr,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Gymnase du Montvillers, Ruelle Fondue 08140 BAZEILLES;",49.6786726,4.9793279,"Rue Fondue, 08140 Bazeilles, France",,Rue Fondue,Rue Fondue,08140,Ardennes,Bazeilles,,Bazeilles,Grand Est,GES,1,1,,France,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11 Boulevard Pierre et Mari Curie 26700 PIERRELATTE;,44.384236,4.697683,"11 Boulevard Pierre Et Marie Curie, 26700 Pierrelatte, France",11,,Boulevard Pierre Et Marie Curie,26700,Drôme,Pierrelatte,,Pierrelatte,Auvergne-Rhone-Alpes,ARA,1,0.7200000000000001,0.7200000000000001,France,fr,0.7200000000000001,© OpenAddresses contributors,BSD-3-Clause License,
Rue Per Jakez Hellias 56390 GRAND-CHAMP;,47.758601,-2.85165,"56390 Grand-Champ (Grand-Champ), France",,,,56390,Morbihan,Grand-Champ,,Grand-Champ,Brittany,BRE,1,,,France,fr,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1 A Esplanade du 8 mai 1945 17100 SAINTES;,45.74135,-0.62898,"1 Esplanade Du 8 Mai 1945, 17100 Saintes, France",1,,Esplanade Du 8 Mai 1945,17100,Charente-Maritime,Saintes,,Saintes,New Aquitaine,,1,1,1,France,fr,1,© OpenAddresses contributors,BSD-3-Clause License,
Chemin de Beau Soleil 51200 EPERNAY;,49.039801,3.955169,"51200 Epernay (Épernay), France",,,,51200,Marne,Epernay,,Épernay,Great East,,1,,,France,fr,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Gymnase du collège, avenue Paul Valéry 34800 Clermont L'hérault;",43.6345524,3.4325524,"Avenue Paul Valéry, 34800 Clermont-l'Hérault, France",,Avenue Paul Valéry,Avenue Paul Valéry,34800,Hérault,,,Clermont-l'Hérault,Occitania,OCC,1,1,,France,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gymnase la Coutancière 44240 La Chapelle sur Erdre;,47.32676,-1.536552,"1 La Marvillière, 44240 Sucé-sur-Erdre, France",1,,La Marvillière,44240,Loire-Atlantique,Suce-Sur-Erdre,,Sucé-sur-Erdre,Pays de la Loire,PDL,1,,,France,fr,0,© OpenAddresses contributors,BSD-3-Clause License,
rue eugene guillaume 51190 LE MESNIL SUR OGER;,48.949778,4.02738,"Avenue Eugène Guillaume, 51190 Le Mesnil-sur-Oger, France",,,Avenue Eugène Guillaume,51190,Marne,Le Mesnil-Sur-Oger,,Le Mesnil-sur-Oger,Great East,,1,1,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright